year	x	y	urban	alarm	firetype	heatsource	objignited	day	time	dayweek	label
2004	8.196	12.114	1	1	1	7	1	1	5.883333333	4	1
2004	7.174	10.763	1	1	3	7	7	1	3.083333333	4	1
2004	12.462	22.005	0	1	3	5	7	2	12.6	5	0
2004	8.313	10.542	1	1	1	4	6	2	16.53333333	5	0
2004	8.548	12.704	1	1	5	NA	NA	4	6.7	7	0
2004	6.333	9.507	0	1	3	7	7	5	19.96666667	1	1
2004	5.634	5.993	0	1	5	NA	NA	9	11.33333333	5	0
2004	7.874	12.061	1	1	1	4	6	10	6.183333333	6	0
2004	7.666	9.637	1	1	5	NA	NA	11	3.516666667	7	1
2004	8.183	12.129	1	1	3	7	7	11	12.5	7	1
2004	5.968	9.514	1	1	5	NA	NA	12	11.4	1	0
2004	7.624	12.28	1	4	6	NA	NA	17	23.13333333	6	0
2004	7.212	10.405	1	1	5	NA	NA	19	19.08333333	1	0
2004	9.107	11.166	1	1	1	NA	9	21	8.983333333	3	0
2004	8.225	11.179	1	1	3	7	7	27	0.616666667	2	1
2004	7.212	10.405	1	1	5	NA	NA	29	6.183333333	4	0
2004	7.555	12.433	1	1	5	NA	NA	31	19.81666667	6	0
2004	8.007	11.979	1	1	5	NA	NA	39	2.25	7	1
2004	8.844	17.604	0	1	1	5	7	42	14.98333333	3	0
2004	7.715	12.085	1	1	5	NA	NA	45	23.75	6	1
2004	9.038	12.598	1	1	6	NA	NA	45	4.25	6	1
2004	7.483	11.043	1	1	1	7	1	46	7.916666667	7	1
2004	7.403	12.184	1	1	3	7	7	52	17.71666667	6	1
2004	7.403	12.184	1	1	1	9	8	52	17.71666667	6	0
2004	5.52	11.293	0	1	3	4	7	55	17.08333333	2	0
2004	14.948	23.84	0	1	3	1	7	55	8.483333333	2	0
2004	7.694	10.613	1	1	5	NA	NA	56	20.5	3	0
2004	7.515	11.768	1	5	1	5	7	58	11.4	5	0
2004	7.758	11.578	1	4	5	NA	NA	59	1.516666667	6	1
2004	12.91	9.4	0	4	1	2	7	59	5.833333333	6	0
2004	5.967	9.511	1	4	5	NA	NA	66	17.1	6	1
2004	8.382	11.386	1	1	5	NA	NA	66	2.816666667	6	0
2004	7.881	11.471	1	1	1	NA	NA	75	11.9	1	0
2004	11.647	14.949	0	1	2	7	9	81	16.46666667	7	1
2004	13.19	8.688	0	1	1	9	7	83	8.5	2	0
2004	13.19	8.688	0	1	5	NA	NA	83	8.5	2	0
2004	1.41	8.883	0	1	3	1	7	83	9.466666667	2	0
2004	8.473	10.857	1	1	2	7	9	85	20.88333333	4	1
2004	8.473	10.857	1	1	3	9	7	85	20.88333333	4	0
2004	7.605	10.856	1	1	1	7	9	87	2.566666667	6	1
2004	6.51	12.15	1	4	3	NA	NA	88	16.98333333	7	0
2004	8.073	10.494	1	1	3	7	7	94	3.116666667	6	1
2004	8.153	10.586	1	1	6	NA	NA	94	3.066666667	6	1
2004	7.623	12.725	1	1	1	5	7	96	15.28333333	1	0
2004	5.951	11.797	1	1	1	NA	9	98	7.7	3	0
